time,low,high,open,close,volume
1610668800,34298.93,39697.0,39123.05,36754.67,36421.05918785
1610755200,35372.59,37948.0,36754.6,36006.94,20861.42545209
1610841600,33850.03,36860.0,36004.8,35820.0,19182.04934663
1610928000,34736.46,37402.0,35820.01,36624.23,16609.64108414
1611014400,35895.11,37857.0,36624.23,35917.28,18904.77910604
1611100800,33387.01,36415.34,35921.91,35503.09,25445.70800774
1611187200,30011.0,35628.24,35498.85,30855.95,50473.11375071
1611273600,28732.0,33867.0,30855.9,32984.93,48155.72161708
1611360000,31432.19,33488.79,32982.66,32112.01,16139.81478284
1611446400,30931.21,33086.53,32110.0,32288.56,13618.80097809
1611532800,31920.8,34888.0,32293.18,32261.87,23045.66293389
1611619200,30830.0,32960.37,32260.52,32510.82,23535.83891688
1611705600,29156.0,32584.62,32510.82,30407.13,46207.08537355
1611792000,29902.14,34000.0,30414.11,33488.99,36007.06269488
1611878400,31990.0,38570.13,33487.92,34262.11,72641.07974951
1611964800,32852.86,34900.0,34262.11,34315.63,21362.15173754
1612051200,32200.0,34387.75,34315.63,33137.74,16436.39757593
1612137600,32333.0,34728.57,33137.75,33533.19,21975.41378272
1612224000,33450.0,36000.0,33534.39,35512.67,19995.83908338
1612310400,35393.8,37723.72,35513.0,37678.37,23781.96945181
1612396800,36156.45,38769.0,37688.42,36975.0,31699.36292316
1612483200,36605.87,38349.0,36976.59,38311.49,17842.70173175
1612569600,38250.0,41000.0,38327.09,39265.43,27102.80602941
1612656000,37371.35,39737.83,39266.1,38871.42,20297.87256102
1612742400,38057.01,46750.0,38871.43,46448.1,47934.0103883
1612828800,45020.0,48200.0,46453.66,46514.73,36418.79365116
1612915200,43706.86,47349.99,46514.73,44850.0,25818.01157857
1613001600,44011.0,48690.0,44850.0,47997.91,26222.60477552
1613088000,46300.0,48912.0,47993.6,47408.34,23503.15583529
1613174400,46300.0,48199.0,47408.34,47232.45,12020.8773325
1613260800,47100.13,49700.0,47240.75,48680.69,15146.55244091
1613347200,45768.46,49093.44,48667.23,47936.37,19432.15278111
1613433600,47051.22,50645.0,47935.66,49158.71,23053.20561135
1613520000,48942.87,52640.35,49141.43,52170.01,25675.171441
1613606400,50875.0,52549.99,52170.01,51601.73,15689.40275173
1613692800,50725.0,56370.05,51596.0,55983.56,27961.48197104
1613779200,54000.1,57563.57,55983.57,55923.52,22137.82194494
1613865600,55531.23,58367.0,55921.44,57489.16,13530.43444443
1613952000,46616.0,57577.69,57489.16,54142.13,49449.16575779
1614038400,44888.08,54206.22,54125.67,48899.99,72300.585728
1614124800,47002.0,51415.41,48899.99,49737.82,30732.14949499
1614211200,46700.0,52107.83,49737.81,47058.48,28011.20414657
1614297600,44150.0,48464.64,47063.9,46326.2,36048.6181927
1614384000,45055.0,48356.86,46319.79,46180.75,16290.28071728
1614470400,43016.0,46656.0,46169.92,45231.75,22745.60600179
1614556800,45042.13,49829.0,45231.74,49639.4,25068.25043716
1614643200,47075.11,50250.0,49635.3,48511.6,17063.56302004
1614729600,48161.75,52666.0,48502.18,50360.0,21301.47723933
1614816000,47502.0,51798.33,50370.33,48368.52,23386.97957577
1614902400,46219.32,49473.99,48370.97,48769.47,25468.18029576
1614988800,47077.0,49210.0,48766.01,48909.84,11877.83755909
1615075200,48909.83,51459.0,48909.84,50978.61,13965.15473114
1615161600,49328.62,52425.0,50976.22,52415.23,18856.28684439
1615248000,51845.01,54936.0,52413.17,54916.38,21177.14953983
1615334400,53025.0,57402.14,54921.61,55890.69,28326.07770941
1615420800,54283.0,58113.0,55888.7,57815.47,24369.21216789
1615507200,55050.0,58065.92,57820.15,57225.91,21760.53824103
1615593600,56083.74,61788.45,57220.84,61178.5,22301.28588901
1615680000,58950.0,61680.0,61181.38,58972.7,13581.96759058
1615766400,54568.0,60601.07,58972.71,55636.15,31651.39184131
1615852800,53221.0,56970.0,55629.08,56927.11,24432.37878722
1615939200,54138.01,58996.38,56924.26,58925.54,22687.57433043
1616025600,56996.15,60100.0,58925.54,57644.95,21459.4962399
1616112000,56260.0,59461.99,57644.95,58039.66,16429.629743
1616198400,57827.97,59928.0,58026.91,58116.7,9725.28123717
1616284800,55543.89,58651.22,58126.34,57363.32,11841.63877891
1616371200,53739.5,58421.68,57377.29,54110.07,19512.15647151
1616457600,53000.0,55858.0,54111.49,54345.54,19221.75674
1616544000,51673.82,57209.97,54333.27,52276.16,23775.21362623
1616630400,50305.0,53238.0,52259.69,51325.01,29642.04415588
1616716800,51250.0,55125.13,51320.76,55072.44,17843.00738205
1616803200,53966.0,56640.0,55080.9,55856.53,11333.33349523
1616889600,54701.0,56587.08,55856.54,55778.82,9235.80302347
1616976000,54900.0,58400.0,55781.22,57613.48,17552.36885101
1617062400,57000.0,59397.48,57613.76,58786.46,15105.07669026
1617148800,56873.8,59800.0,58786.46,58800.0,17376.62672814
1617235200,57930.0,59474.94,58800.01,58726.48,11096.33004907
1617321600,58441.88,60055.02,58726.47,58981.04,10966.93017846
1617408000,56943.0,59752.0,58981.04,57094.34,8405.26400491
1617494400,56478.53,58500.0,57094.34,58215.94,6301.43187883
1617580800,56817.64,59251.76,58216.73,59123.02,9204.86323941
1617667200,57333.33,59475.0,59134.07,58019.98,10354.33014603
1617753600,55400.0,58630.0,58021.67,55955.75,17787.29445084
1617840000,55700.0,58152.0,55962.67,58083.1,8073.59731731
1617926400,57670.51,58869.69,58083.1,58092.68,8094.74629652
1618012800,57875.41,61218.97,58092.68,59778.6,12817.81106734
1618099200,59177.06,60658.89,59778.59,59985.26,7278.96516665
1618185600,59369.0,61199.0,59983.66,59839.82,11467.72752999
1618272000,59799.01,63774.39,59836.88,63588.22,17897.76603088
1618358400,61277.91,64899.0,63588.22,62971.8,22570.84113444
1618444800,62036.73,63831.82,62971.8,63229.04,11209.4505281
1618531200,60048.43,63604.34,63229.04,61427.27,19867.41322269
1618617600,59700.0,62572.48,61427.27,60058.86,10847.76785762
1618704000,51300.0,60437.97,60067.2,56274.41,36891.70959047
1618790400,54187.85,57600.0,56273.65,55696.83,16838.39171629
1618876800,53430.01,57111.0,55696.83,56499.29,18608.27983583
1618963200,53620.91,56810.56,56477.67,53800.86,15584.08398293
1619049600,50400.0,55469.98,53795.62,51701.59,30427.89153907
1619136000,47464.65,52130.58,51695.98,51187.27,38794.85818376
1619222400,48726.87,51260.61,51187.75,50089.15,11839.14355893
1619308800,47044.01,50591.38,50101.42,49121.0,14633.51206544
1619395200,48817.62,54400.0,49121.0,54053.6,18005.22399425
1619481600,53321.0,55509.39,54047.8,55069.62,13957.08649512
1619568000,53887.0,56476.17,55069.61,54894.03,16484.33677655
1619654400,52369.61,55226.86,54889.81,53580.0,14592.31688772
1619740800,53068.43,58075.01,53580.0,57798.77,16536.33288912
1619827200,57050.94,58550.0,57798.77,57859.28,10787.04933216
1619913600,56072.0,57972.26,57859.28,56625.2,7647.62578087
1620000000,56500.0,58986.0,56625.21,57212.73,15165.00648795
1620086400,53057.7,57247.24,57212.73,53241.92,23492.0586849
1620172800,52913.02,57980.86,53241.91,57515.69,22918.90458572
1620259200,55288.0,58400.0,57515.69,56440.66,18244.13605211
1620345600,55300.0,58735.95,56444.82,57380.39,18323.8958022
1620432000,56980.01,59559.84,57380.39,58958.05,15374.94442964
1620518400,56265.3,59300.52,58958.06,58312.57,17169.72318523
1620604800,53600.0,59592.2,58313.84,55866.41,24647.23540718
